12-05-2015 18:01:08,,,,,,,,,,,
Iteration,Direction_Tx,Byte_All_Tx,Byte_Sequence_Tx,Value_Tx,Time_Tx,Direction_Rx,Byte_All_Rx,Byte_Sequence_Rx,Value_Rx,Time_Rx,Latency Tx -> Rx
1,Tx,11520,11520,0xff,1431453669.406726,Rx,11520,11520,0xff,1431453669.406726,0.0
2,Tx,23040,11520,0xff,1431453670.406734,Rx,23040,11520,0xff,1431453670.406734,0.0
3,Tx,34560,11520,0xff,1431453671.406742,Rx,34560,11520,0xff,1431453671.406742,0.0
4,Tx,46080,11520,0xff,1431453672.409747,Rx,46080,11520,0xff,1431453672.409747,0.0
5,Tx,57600,11520,0xff,1431453673.407756,Rx,57600,11520,0xff,1431453673.407756,0.0
6,Tx,69120,11520,0xff,1431453674.401263,Rx,69120,11520,0xff,1431453674.401263,0.0
7,Tx,80640,11520,0xff,1431453675.40427,Rx,80640,11520,0xff,1431453675.40427,0.0
8,Tx,92160,11520,0xff,1431453676.409277,Rx,92160,11520,0xff,1431453676.409277,0.0
9,Tx,103680,11520,0xff,1431453677.405784,Rx,103680,11520,0xff,1431453677.405784,0.0
10,Tx,115200,11520,0xff,1431453678.40629,Rx,115200,11520,0xff,1431453678.40629,0.0
11,Tx,126720,11520,0xff,1431453679.401298,Rx,126720,11520,0xff,1431453679.401298,0.0
12,Tx,138240,11520,0xff,1431453680.414306,Rx,138240,11520,0xff,1431453680.414306,0.0
13,Tx,149760,11520,0xff,1431453681.424312,Rx,149760,11520,0xff,1431453681.424312,0.0
14,Tx,161280,11520,0xff,1431453682.427318,Rx,161280,11520,0xff,1431453682.427318,0.0
15,Tx,172800,11520,0xff,1431453683.424825,Rx,172800,11520,0xff,1431453683.424825,0.0
16,Tx,184320,11520,0xff,1431453684.429833,Rx,184320,11520,0xff,1431453684.429833,0.0
17,Tx,195840,11520,0xff,1431453685.430841,Rx,195840,11520,0xff,1431453685.430841,0.0
18,Tx,207360,11520,0xff,1431453686.424347,Rx,207360,11520,0xff,1431453686.424347,0.0
19,Tx,218880,11520,0xff,1431453687.431353,Rx,218880,11520,0xff,1431453687.431353,0.0
20,Tx,230400,11520,0xff,1431453688.428362,Rx,230400,11520,0xff,1431453688.428362,0.0
21,Tx,241920,11520,0xff,1431453689.43187,Rx,241920,11520,0xff,1431453689.43187,0.0
22,Tx,253440,11520,0xff,1431453690.430376,Rx,253440,11520,0xff,1431453690.430376,0.0
23,Tx,264960,11520,0xff,1431453691.431881,Rx,264960,11520,0xff,1431453691.431881,0.0
24,Tx,276480,11520,0xff,1431453692.427889,Rx,276480,11520,0xff,1431453692.427889,0.0
25,Tx,288000,11520,0xff,1431453693.423398,Rx,288000,11520,0xff,1431453693.423398,0.0
26,Tx,299520,11520,0xff,1431453694.422907,Rx,299520,11520,0xff,1431453694.422907,0.0
27,Tx,311040,11520,0xff,1431453695.434419,Rx,311040,11520,0xff,1431453695.434419,0.0
28,Tx,322560,11520,0xff,1431453696.438428,Rx,322560,11520,0xff,1431453696.438428,0.0
29,Tx,334080,11520,0xff,1431453697.455936,Rx,334080,11520,0xff,1431453697.455936,0.0
30,Tx,345600,11520,0xff,1431453698.461943,Rx,345600,11520,0xff,1431453698.461943,0.0
31,Tx,357120,11520,0xff,1431453699.46395,Rx,357120,11520,0xff,1431453699.46395,0.0
32,Tx,368640,11520,0xff,1431453700.461958,Rx,368640,11520,0xff,1431453700.461958,0.0
33,Tx,380160,11520,0xff,1431453701.455965,Rx,380160,11520,0xff,1431453701.455965,0.0
34,Tx,391680,11520,0xff,1431453702.45647,Rx,391680,11520,0xff,1431453702.45847,2000.0934600830078
35,Tx,403200,11520,0xff,1431453703.474478,Rx,403200,11520,0xff,1431453703.474478,0.0
36,Tx,414720,11520,0xff,1431453704.488485,Rx,414720,11520,0xff,1431453704.488485,0.0
37,Tx,426240,11520,0xff,1431453705.510995,Rx,426240,11520,0xff,1431453705.510995,0.0
38,Tx,437760,11520,0xff,1431453706.507003,Rx,437760,11520,0xff,1431453706.507003,0.0
39,Tx,449280,11520,0xff,1431453707.51401,Rx,449280,11520,0xff,1431453707.51401,0.0
