Platval;Actval;Samval;Stypeval
Cruiser;Shadowing/Intervening;HAWK;CLEMENCEAU
Frigate;Shadowing/Intervening;I-HAWK;FORRESTAL
Battleship;Shadowing/Intervening;PATRIOT;MIDWAY
Troop Ship;Shadowing/Intervening;NIKE;DEDALO
Hydrofoil;Shadowing/Intervening;REDEYE;VIKRANT
Landing Ship;Shadowing/Intervening;STINKER;KIEV
Support;Shadowing/Intervening;HELLFIRE;IOWA
Fishing Vessel;Shadowing/Intervening;PERSHING;SVERDLOV (MODIFIED)
Decoy;Shadowing/Intervening;NIM-23 HAWK;ANDREA DORIA
Cruiser;Shadowing/Intervening;MIM-42 REDEYE;BAINBRIDGE
Frigate;Shadowing/Intervening;MIM-72 CHAPARRAL;BELKNAP
Battleship;Shadowing/Intervening;MIM-104 PATRIOT;CALIFORNIA
Troop Ship;Shadowing/Intervening;RIM-2 TERRIER;KRESTA I
Hydrofoil;Shadowing/Intervening;RIM-8 TALOS;KRESTA II
Landing Ship;Shadowing/Intervening;RIM-24 TARTAR;LEAHY
Support;Shadowing/Intervening;SAM ROLAND;LONG BEACH
Fishing Vessel;Shadowing/Intervening;SA-2 GUIDELINE;TRUXTUN
Decoy;Shadowing/Intervening;SA-3 GOA;VIRGINIA
Cruiser;Shadowing/Intervening;SA-4 GANEF;CA GENERAL
Frigate;Shadowing/Intervening;SA-5 GAMMON;SVERDLOV
Battleship;Shadowing/Intervening;SA-6 GAINFUL;AKIZUKI
Troop Ship;Shadowing/Intervening;SA-7 GRAIL;ALLEN M SUMNER
Hydrofoil;Shadowing/Intervening;SA-8 GECKO;ALMIRANTE
Landing Ship;Shadowing/Intervening;SA-9 GASKIN;AMATSUKAZE
Support;Shadowing/Intervening;SA-10 GRUMBLE;ANIMOSO
Fishing Vessel;Shadowing/Intervening;SA-11 GADFLY;COONTZ
Decoy;Shadowing/Intervening;SA-12;FRIESLAND
Cruiser;Shadowing/Intervening;SA-13 GOPHER;KANIN
Frigate;Shadowing/Intervening;SA-14 GREMLIN;KASHIN II
