Platval;Actval;Stypeval
Submarine Propulsion Unknown;Shadowing/Intervening;GOLF II SSB
Diesel Electric Submarine General;Shadowing/Intervening;GOLF III SSB
Diesel Electric Attack Submarine;Shadowing/Intervening;GOLF V SSB
Diesel Electric Missile Submarine;Shadowing/Intervening;BENJAMIN FRANKLIN SSN
Diesel Electric Ballistic Missile Submarine;Shadowing/Intervening;DELTA II SSBN
Type 1 Diesel;Shadowing/Intervening;HOTEL III SSBN
Type 2 Diesel;Shadowing/Intervening;YANKEE SSBN
Type 3 Diesel;Shadowing/Intervening;YANKEE I SSBN
Nuclear Submarine General;Shadowing/Intervening;YANKEE II SSBN
Nuclear Attack Submarine;Shadowing/Intervening;LE TERRIBLE SSBN
Nuclear Missile Submarine;Shadowing/Intervening;ALFA SSN
Nuclear Ballistic Missile Submarine;Shadowing/Intervening;AMATHEPT SSN
Type I Nuclear;Shadowing/Intervening;CHARLIE/VICTOR SSGN/SSN
Type II Nuclear;Shadowing/Intervening;CHURCHILL SSN
Type III Nuclear;Shadowing/Intervening;ECHO/NOVEMBER SSGN/SSN
Type IV Nuclear;Shadowing/Intervening;HOTEL SSN
Type V Nuclear;Shadowing/Intervening;MIKE SSN
Non-Submarine;Shadowing/Intervening;NARWHAL SSN
Surface Vessel;Shadowing/Intervening;VICTOR I SSN
Torpedo;Shadowing/Intervening;VICTOR II SSN
Mine;Shadowing/Intervening;YANKEE SSN
Decoy;Shadowing/Intervening;BENJAMIN FRANKLIN SSN
Wreck;Shadowing/Intervening;JULIETT SSG
Seabed Pipeline;Shadowing/Intervening;CHARLIE I SSGN
Fish/Marine Life;Shadowing/Intervening;CHARLIE II SSGN
Swimmer/Frogman;Shadowing/Intervening;ECHO II SSGN
Knuckle/Wake;Shadowing/Intervening;PAPA SSGN
Attack Submarine;Shadowing/Intervening;MING SSK
Cruise Missile Launcher;Shadowing/Intervening;NARVAL SSK
Pinnacle/Seamountain;Shadowing/Intervening;SUTJESKA SSK
Non-Military Submersible;Shadowing/Intervening;UPHOLDER SSK
Type VI Nuclear;Shadowing/Intervening;ZULU IV SSK
Attack Submarine;Shadowing/Intervening;DORIS SSK
Cruise Missile Launcher;Shadowing/Intervening;DELFINEN SSC
Attack Submarine;Shadowing/Intervening;DRAKEN SSC
Missile Control Unit;Shadowing/Intervening;NAECKEN SSC
Attack Submarine;Shadowing/Intervening;SJOORMEN SSC
Cruise Missile Launcher;Shadowing/Intervening;TYPE 211 SSC
Pinnacle/Seamountain;Shadowing/Intervening;BRAVO SSA
Non-Military Submersible;Shadowing/Intervening;GOLF I SSA
Type VI Nuclear;Shadowing/Intervening;GOLF I (MODIFIED) SSA
Attack Submarine;Shadowing/Intervening;GOLF II SSA
Cruise Missile Launcher;Shadowing/Intervening;INDIA SSA
Attack Submarine;Shadowing/Intervening;LIMA SSA
Missile Control Unit;Shadowing/Intervening;ZULU SSA
