Platnum;Platval;Actnum;Actval;Stypenum;Stypeval;Sampnum;Sampval
8;Decoy;8;Data Link;83;HATF II;8;Penetration Aid
9;Air Breathing Object (ABO);9;Electronic Warfare Support (ES);85;LANCE;9;High Explosive Submunition Warhead
13;Calibration Balloon;10;Electronic Attack (EA);86;MB/EE-150;10;Chemical Submunition Warhead
14;Meteor;11;Communications;87;MB/EE-300;11;Biological Submunition Warhead
1;Satellite;1;Reconnaissance;1;FROG-7;1;Unitary High Explosive Warhead
2;Base;2;Antispace Warfare;4;SS-21 MOD 2;2;Nuclear Warhead
3;Weapon;3;Television;5;SS-21 MOD 3;3;Bulk Chemical Warhead
4;Transport;4;Logistics;6;HATF I;4;Bulk Biological Warhead
5;Patrol;5;Antisurface Warfare;79;RANGE 0-65 DM;5;Fuel-Air Explosive Warhead
6;Support;6;Electronic Warfare (EW);80;ALACRAN;6;Debris
7;Debris (Orbital);7;Surveillance;81;CHING FENG (GREEN BEE);7;Warhead
15;Re-Entry Vehicle (RV);12;Return to Base (RTB);91;SS-1C MOD 1 (SCUD B);12;Booster Tank
31;Space General;13;Nuclear, Biological, Chemical (NBC) Operations;95;NHK-I;13;ACM
62;Ballistic Missile General;14;Nuclear Operations;96;NHK-II (HYON MU);14;CAR
1;Satellite;15;Biological Operations;97;SS-26;15;Single Body Target
2;Base;16;Chemical Operations;98;DHANUSH;16;Decoy Balloon
3;Weapon;51;Space Activity 1;99;CSS-X-9;17;Chaff
4;Transport;52;Space Activity 2;100;AL SAMOUD;18;Post Boost Vehicle (PBV)
5;Patrol;53;Space Activity 3;101;ARABIL-100;19;Lightweight Replica (LREP) Decoy
6;Support;54;Space Activity 4;102;CSS-8;1;Unitary High Explosive Warhead
7;Debris (Orbital);55;Space Activity 5;103;SS-1C MOD 2 (AEROFON);2;Nuclear Warhead
8;Decoy;56;Space Activity 6;104;PRITHVI-I;3;Bulk Chemical Warhead
9;Air Breathing Object (ABO);57;Space Activity 7;105;PRITHVI-II;4;Bulk Biological Warhead
13;Calibration Balloon;58;Space Activity 8;106;SAGARIKA;5;Fuel-Air Explosive Warhead
14;Meteor;59;Space Activity 9;169;RANGE 66-200 DM;6;Debris
15;Re-Entry Vehicle (RV);60;Space Activity 10;172;HATF III;7;Warhead
31;Space General;61;Space Activity 11;174;CSS-7 MOD 1 (M-11 MOD 1);8;Penetration Aid
62;Ballistic Missile General;62;Space Activity 12;176;SCUD-C;9;High Explosive Submunition Warhead
1;Satellite;115;Ballistic Missile Activity 1;177;SS-23 (SPIDER);10;Chemical Submunition Warhead
2;Base;116;Ballistic Missile Activity 2;178;AL HUSSEIN (11.6M);11;Biological Submunition Warhead
3;Weapon;117;Ballistic Missile Activity 3;179;FATEH-110;12;Booster Tank
4;Transport;118;Ballistic Missile Activity 4;180;AL HUSSEIN (12.2M);13;ACM
5;Patrol;119;Ballistic Missile Activity 5;243;RANGE 201-400 DM;14;CAR
